Year,Canton,Citizenship,Sex,Age,Count,Naissance vivante,Death,Immigration,Intercantonal arrival,Emmigration,Intercantonal departure,Swiss citizenship acquisition,Sex change,Sex change (removal),Divergence statistique,Starting the 31st of December,Variation
2025,Suisse,Suisse,Sexe - total,18 ans,67503,0,17,355,537,257,537,886,42,42,-4,68466,963
2025,Suisse,Suisse,Sexe - total,19 ans,67525,0,19,430,821,435,821,839,32,32,-2,68338,813
2025,Suisse,Suisse,Sexe - total,20 ans,67636,0,21,371,1210,479,1210,661,37,37,-5,68163,527
2025,Suisse,Suisse,Sexe - total,21 ans,67940,0,25,376,1638,529,1638,486,27,27,19,68267,327
2025,Suisse,Suisse,Sexe - total,22 ans,66647,0,24,459,2025,516,2025,388,30,30,22,66976,329
2025,Suisse,Suisse,Sexe - total,23 ans,67911,0,15,500,2385,624,2385,317,18,18,54,68143,232
2025,Suisse,Suisse,Sexe - total,24 ans,68307,0,12,529,2864,716,2864,288,25,25,53,68449,142
2025,Suisse,Suisse,Sexe - total,25 ans,72299,0,25,567,3691,853,3691,318,20,20,64,72370,71
2025,Suisse,Suisse,Sexe - total,26 ans,71646,0,27,574,3938,880,3938,279,18,18,41,71633,-13
2025,Suisse,Suisse,Sexe - total,27 ans,72488,0,27,518,4089,740,4089,273,13,13,80,72592,104
2025,Suisse,Suisse,Sexe - total,28 ans,73644,0,21,557,3942,700,3942,260,17,17,42,73782,138
2025,Suisse,Suisse,Sexe - total,29 ans,75641,0,30,535,3854,658,3854,255,12,12,27,75770,129
2025,Suisse,Suisse,Sexe - total,30 ans,74923,0,31,563,3615,640,3615,327,15,15,16,75158,235
2025,Suisse,Suisse,Sexe - total,31 ans,75907,0,36,507,3207,598,3207,332,14,14,15,76127,220
2025,Suisse,Suisse,Sexe - total,32 ans,77037,0,25,520,2975,595,2975,384,3,3,31,77352,315
2025,Suisse,Suisse,Sexe - total,33 ans,80177,0,35,471,2641,551,2641,422,8,8,-18,80466,289
2025,Suisse,Suisse,Sexe - total,34 ans,80745,0,37,490,2456,500,2456,519,3,3,-22,81195,450
2025,Suisse,Suisse,Sexe - total,35 ans,81094,0,38,411,2225,461,2225,623,7,7,3,81632,538
2025,Suisse,Suisse,Sexe - total,36 ans,79745,0,50,422,1977,462,1977,706,4,4,-32,80329,584
2025,Suisse,Suisse,Sexe - total,37 ans,80210,0,37,367,1765,421,1765,912,4,4,-13,81018,808
2025,Suisse,Suisse,Sexe - total,38 ans,77760,0,52,323,1586,421,1586,1015,7,7,5,78630,870
2025,Suisse,Suisse,Sexe - total,39 ans,78593,0,46,311,1383,380,1383,1039,2,2,-1,79516,923
2025,Suisse,Suisse,Sexe - total,40 ans,77834,0,56,307,1243,357,1243,1101,7,7,-10,78819,985
2025,Suisse,Suisse,Sexe - total,41 ans,78430,0,56,330,1066,315,1066,1042,5,5,3,79434,1004
2025,Suisse,Suisse,Sexe - total,42 ans,77954,0,63,257,1030,349,1030,1087,2,2,2,78888,934
2025,Suisse,Suisse,Sexe - total,43 ans,79643,0,50,276,998,329,998,1130,5,5,13,80683,1040
2025,Suisse,Suisse,Sexe - total,44 ans,79276,0,72,289,888,296,888,1038,2,2,-31,80204,928
2025,Suisse,Suisse,Sexe - total,45 ans,79811,0,80,275,849,350,849,1092,3,3,20,80768,957
2025,Suisse,Suisse,Sexe - total,46 ans,78395,0,78,254,738,298,738,935,4,4,1,79209,814
2025,Suisse,Suisse,Sexe - total,47 ans,77199,0,95,228,765,309,765,878,1,1,8,77909,710
2025,Suisse,Suisse,Sexe - total,48 ans,77785,0,92,261,743,279,743,889,1,1,-2,78562,777
2025,Suisse,Suisse,Sexe - total,49 ans,77680,0,92,271,723,287,723,751,4,4,18,78341,661
2025,Suisse,Suisse,Sexe - total,50 ans,78230,0,127,203,636,289,636,699,3,3,-5,78711,481
2025,Suisse,Suisse,Sexe - total,51 ans,81233,0,149,253,740,291,740,611,2,2,-13,81644,411
2025,Suisse,Suisse,Sexe - total,52 ans,82975,0,126,240,698,324,698,583,2,2,-10,83338,363
2025,Suisse,Suisse,Sexe - total,53 ans,86249,0,158,269,772,355,772,511,4,4,14,86530,281
2025,Suisse,Suisse,Sexe - total,54 ans,90444,0,210,219,771,356,771,506,3,3,-5,90598,154
2025,Suisse,Suisse,Sexe - total,55 ans,92213,0,214,203,826,356,826,481,0,0,5,92332,119
