Canton,Electeurs inscrits,Oui,Non,Oui en %
Suisse,5496858,984574,1778196,35.64
Z�rich,952826,171915,314009,35.38
Bern / Berne,742146,120105,241218,33.24
Luzern,281263,56226,85710,39.61
Uri,26873,4147,7303,36.22
Schwyz,106535,20809,36451,36.34
Obwalden,27175,5641,8501,39.89
Nidwalden,31626,6949,10255,40.39
Glarus,26524,4229,7804,35.15
Zug,78343,18884,27203,40.97
Fribourg / Freiburg,209008,42328,69608,37.81
Solothurn,181149,36634,55415,39.80
Basel-Stadt,114209,17998,43417,29.31
Basel-Landschaft,189799,30328,60185,33.51
Schaffhausen,52683,10791,23408,31.55
Appenzell Ausserrhoden,38972,7090,12474,36.24
Appenzell Innerrhoden,12149,2094,3284,38.94
St. Gallen,326101,58917,96114,38.00
Graub�nden / Grigioni / Grischun,140752,23499,37905,38.27
Aargau,434162,78468,129827,37.67
Thurgau,175893,29796,52342,36.28
Ticino,223544,43539,54978,44.19
Vaud,459257,74716,174640,29.96
Valais / Wallis,228555,53728,80509,40.02
Neuch�tel,113161,15876,34612,31.45
Gen�ve,270449,42129,95561,30.60
Jura,53704,7738,15463,33.35
